	words	labels	times	sentence_id
151	przyjrzał	B	 	0
152	się	B	 	0
153	temu	,	 	0
154	co	B	 	0
155	się	B	 	0
156	wydarzyło	B	 	0
157	w	B	 	0
158	polsce	B	 	0
159	przez	B	 	0
160	ostatnie	B	 	0
161	dwa	B	 	0
162	lata	.	 	0
163	żeby	B	 	0
164	jednak	B	 	0
165	zrzucił	B	 	0
166	czarne	B	 	0
167	okulary	,	 	0
168	choć	B	 	0
169	wcale	B	 	0
170	nie	B	 	0
171	musi	B	 	0
172	zakładać	B	 	0
173	różowych	,	 	0
174	i	B	 	0
175	rozejrzał	B	 	0
176	się	B	 	0
177	dookoła	.	 	0
178	i	B	 	0
179	żeby	B	 	0
180	w	B	 	0
181	końcu	B	 	0
182	doszedł	B	 	0
183	do	B	 	0
184	wniosku	,	 	0
185	że	B	 	0
186	wiele	B	 	0
187	rzeczy	B	 	0
188	warto	B	 	0
189	kontynuować	.	 	0
190	""""	B	 	0
0	dowody	B	 	1
1	prokuratury	B	 	1
2	przedstawiające	,	 	1
3	że	B	 	1
4	janusz	B	 	1
5	kaczmarek	,	 	1
6	były	B	 	1
7	szef	B	 	1
8	mswia	,	 	1
9	kłamał	,	 	1
10	wypierając	B	 	1
11	się	B	 	1
12	spotkania	B	 	1
13	z	B	 	1
14	ryszardem	B	 	1
15	krauze	B	 	1
16	5	B	 	1
17	lipca	-	 	1
18	nie	B	 	1
19	osłabiły	B	 	1
20	determinacji	B	 	1
21	opozycji	.	 	1
22	teraz	B	 	1
23	opozycja	B	 	1
24	żąda	B	 	1
25	przesłuchania	B	 	1
26	lecha	B	 	1
27	kaczyńskiego	B	 	1
28	w	B	 	1
29	sprawie	B	 	1
30	przecieku	B	 	1
31	o	B	 	1
32	akcji	B	 	1
33	cba	.	 	1
34	polityczni	B	 	1
35	przeciwnicy	B	 	1
36	pis	B	 	1
37	wciąż	B	 	1
38	wątpią	,	 	1
39	że	B	 	1
40	to	B	 	1
41	kaczmarek	B	 	1
42	był	B	 	1
43	źródłem	B	 	1
44	przecieku	B	 	1
45	w	B	 	1
46	sprawie	B	 	1
47	afery	B	 	1
48	gruntowej	.	 	1
49	janusz	B	 	1
50	zemke	B	 	1
51	uważa	,	 	1
52	iż	B	 	1
53	informacja	B	 	1
54	mogła	B	 	1
55	wyjść	B	 	1
56	od	B	 	1
57	innych	B	 	1
58	ludzi	,	 	1
59	np	.	 	1
60	od	B	 	1
61	oficerów	B	 	1
62	bor	.	 	1
63	inni	B	 	1
64	działacze	B	 	1
65	opozycji	B	 	1
66	idą	B	 	1
67	jeszcze	B	 	1
68	dalej	B	 	1
69	i	B	 	1
70	wskazują	B	 	1
71	na	B	 	1
72	prezydenta	.	 	1
73	dlaczego	?	 	1
74	bo	B	 	1
75	bezpośrednio	B	 	1
76	przed	B	 	1
77	spotkaniem	B	 	1
78	z	B	 	1
79	ryszardem	B	 	1
80	krauzem	B	 	1
81	kaczmarek	B	 	1
82	rozmawiał	B	 	1
83	długo	B	 	1
84	z	B	 	1
85	lechem	B	 	1
86	kaczyńskim	-	 	1
87	podaje	B	 	1
88	""""	B	 	1
89	rzeczpospolita	B	 	1
90	""""	.	 	1
91	""""	B	 	1
92	w	B	 	1
93	całej	B	 	1
94	tej	B	 	1
95	sprawie	B	 	1
96	opozycja	B	 	1
97	dostała	B	 	1
98	wścieklizny	B	 	1
99	politycznej	,	 	1
100	a	B	 	1
101	teraz	B	 	1
102	powinna	B	 	1
103	przeprosić	B	 	1
104	za	B	 	1
105	swoją	B	 	1
106	wiarę	B	 	1
107	w	B	 	1
108	słowa	B	 	1
109	kaczmarka	B	 	1
110	""""	-	 	1
111	uważa	B	 	1
112	szef	B	 	1
113	rządu	.	 	1
114	zemke	B	 	1
115	natomiast	B	 	1
116	broni	B	 	1
117	postawy	B	 	1
118	opozycji	:	 	1
119	""""	B	 	1
120	prokuratorzy	B	 	1
121	udowodnili	,	 	1
122	że	B	 	1
123	kaczmarek	B	 	1
124	skłamał	,	 	1
125	wypierając	B	 	1
126	się	B	 	1
127	spotkania	B	 	1
128	z	B	 	1
129	krauzem	.	 	1
130	ale	B	 	1
131	to	B	 	1
132	nie	B	 	1
133	znaczy	,	 	1
134	że	B	 	1
135	innych	B	 	1
136	faktów	,	 	1
137	o	B	 	1
138	których	B	 	1
139	mówił	,	 	1
140	nie	B	 	1
141	warto	B	 	1
142	weryfikować	B	 	1
143	""""	.	 	1
144	wczoraj	B	 	1
145	pojawiła	B	 	1
146	się	B	 	1
147	informacja	B	 	1
148	o	B	 	1
149	innym	B	 	1
150	wydarzeniu	B	 	1
151	z	B	 	1
152	udziałem	B	 	1
153	krauzego	.	 	1
154	okazało	B	 	1
155	się	,	 	1
156	że	B	 	1
157	dzwonił	B	 	1
158	on	B	 	1
159	do	B	 	1
160	prezydenta	B	 	1
161	13	B	 	1
162	lipca	.	 	1
163	tego	B	 	1
164	właśnie	B	 	1
165	dnia	B	 	1
166	w	B	 	1
167	warszawskiej	B	 	1
168	siedzibie	B	 	1
169	firmy	B	 	1
170	krauzego	B	 	1
171	pojawili	B	 	1
172	się	B	 	1
173	agenci	B	 	1
174	abw	,	 	1
175	którzy	B	 	1
176	zabezpieczali	B	 	1
177	książkę	B	 	1
178	wejść	B	 	1
179	i	B	 	1
180	wyjść	B	 	1
181	oraz	B	 	1
182	zapisy	B	 	1
183	z	B	 	1
184	kamer	.	 	1
0	w	B	 	2
1	czasie	B	 	2
2	długiego	B	 	2
3	weekendu	,	 	2
4	1	-	 	2
5	3	B	 	2
6	maja	B	 	2
7	2009	B	 	2
8	w	B	 	2
9	jadwisinie	B	 	2
10	nad	B	 	2
11	jeziorem	B	 	2
12	zegrzyńskim	B	 	2
13	stowarzyszenie	B	 	2
14	wikimedia	B	 	2
15	polska	B	 	2
16	organizuje	B	 	2
17	konferencję	B	 	2
18	poświęconą	B	 	2
19	zarówno	B	 	2
20	wikimediom	,	 	2
21	m	.	 	2
22	in	.	 	2
23	wikipedii	,	 	2
24	jak	B	 	2
25	i	B	 	2
26	ruchowi	B	 	2
27	wolnej	B	 	2
28	kultury	.	 	2
29	miejscem	B	 	2
30	konferencji	B	 	2
31	jest	B	 	2
32	ośrodek	B	 	2
33	szkoleniowo	-	 	2
34	wypoczynkowy	B	 	2
35	kancelarii	B	 	2
36	prezesa	B	 	2
37	rady	B	 	2
38	ministrów	B	 	2
39	ulokowany	B	 	2
40	w	B	 	2
41	dziewiętnastowiecznym	B	 	2
42	neoklasycystycznym	B	 	2
43	pałacu	B	 	2
44	radziwiłłów	.	 	2
45	pierwszego	B	 	2
46	dnia	B	 	2
47	twórcy	B	 	2
48	wikipedii	B	 	2
49	i	B	 	2
50	jej	B	 	2
51	siostrzanych	B	 	2
52	projektów	B	 	2
53	poświęcą	B	 	2
54	swój	B	 	2
55	czas	B	 	2
56	na	B	 	2
57	edytowanie	.	 	2
58	osoby	B	 	2
59	z	B	 	2
60	zewnątrz	,	 	2
61	które	B	 	2
62	jeszcze	B	 	2
63	nie	B	 	2
64	miały	B	 	2
65	okazji	B	 	2
66	działać	B	 	2
67	w	B	 	2
68	tych	B	 	2
69	projektach	,	 	2
70	będą	B	 	2
71	mogły	B	 	2
72	zapoznać	B	 	2
73	się	B	 	2
74	z	B	 	2
75	nimi	B	 	2
76	oraz	B	 	2
77	dokonać	B	 	2
78	swoich	B	 	2
79	pierwszych	B	 	2
80	edycji	B	 	2
81	pod	B	 	2
82	okiem	B	 	2
83	bardziej	B	 	2
84	doświadczonych	B	 	2
85	internautów	.	 	2
86	o	B	 	2
87	godzinie	B	 	2
88	20	B	 	2
89	0	B	 	2
90	nastąpi	B	 	2
91	oficjalne	B	 	2
92	rozpoczęcie	B	 	2
93	konferencji	,	 	2
94	po	B	 	2
95	czym	B	 	2
96	uczestnicy	B	 	2
97	będą	B	 	2
98	mogli	,	 	2
99	podobnie	B	 	2
100	jak	B	 	2
101	w	B	 	2
102	dniu	B	 	2
103	następnym	,	 	2
104	odbyć	B	 	2
105	swobodne	B	 	2
106	rozmowy	B	 	2
107	przy	B	 	2
108	ognisku	.	 	2
109	w	B	 	2
110	sobotę	B	 	2
111	od	B	 	2
112	godziny	B	 	2
113	9	B	 	2
114	00	B	 	2
115	do	B	 	2
116	16	B	 	2
117	0	B	 	2
118	odbywać	B	 	2
119	będą	B	 	2
120	się	B	 	2
121	w	B	 	2
122	dwóch	B	 	2
123	salach	B	 	2
124	wykłady	B	 	2
125	i	B	 	2
126	warsztaty	,	 	2
127	po	B	 	2
128	czym	B	 	2
129	odbędzie	B	 	2
130	się	B	 	2
131	walne	B	 	2
132	zebranie	B	 	2
133	stowarzyszenia	B	 	2
134	wikimedia	B	 	2
135	polska	.	 	2
136	wśród	B	 	2
137	wykładowców	B	 	2
138	znajdzie	B	 	2
139	się	B	 	2
140	tego	B	 	2
141	dnia	B	 	2
142	richard	B	 	2
143	stallman	,	 	2
144	jeden	B	 	2
145	z	B	 	2
146	ojców	B	 	2
147	wolnego	B	 	2
148	oprogramowania	.	 	2
149	będzie	B	 	2
150	to	B	 	2
151	jego	B	 	2
152	drugie	B	 	2
153	wystąpienie	B	 	2
154	w	B	 	2
155	polsce	,	 	2
156	po	B	 	2
157	tym	B	 	2
158	jak	B	 	2
159	w	B	 	2
160	styczniu	B	 	2
161	2009	B	 	2
162	gościł	B	 	2
163	w	B	 	2
164	agh	B	 	2
165	w	B	 	2
166	krakowie	.	 	2
167	wykłady	B	 	2
168	prowadzić	B	 	2
169	będą	B	 	2
170	także	B	 	2
171	m	.	 	2
172	in	.	 	2
173	prof	.	 	2
174	bożena	B	 	2
175	czerny	B	 	2
176	inicjatorka	B	 	2
177	poprawy	B	 	2
178	jakości	B	 	2
179	haseł	B	 	2
180	astronomicznych	B	 	2
181	w	B	 	2
182	wikipedii	,	 	2
183	edyta	B	 	2
184	puchalska	-	 	2
185	szefowa	B	 	2
186	działu	B	 	2
187	edukacyjnego	B	 	2
188	w	B	 	2
189	onet	.	 	2
190	pl	,	 	2
191	czy	B	 	2
192	jarosław	B	 	2
193	lipszyc	-	 	2
194	prezes	B	 	2
195	fundacji	B	 	2
196	nowoczesna	B	 	2
197	polska	.	 	2
198	w	B	 	2
199	niedzielę	B	 	2
200	dyskusje	B	 	2
201	toczyć	B	 	2
202	się	B	 	2
203	będą	B	 	2
204	wokół	B	 	2
205	zastosowań	B	 	2
206	wiki	B	 	2
207	i	B	 	2
208	wolnego	B	 	2
209	oprogramowania	,	 	2
210	zaprezentowana	B	 	2
211	zostanie	B	 	2
212	rosyjska	B	 	2
213	wikipedia	,	 	2
214	a	B	 	2
215	także	B	 	2
216	zorganizowany	B	 	2
217	będzie	B	 	2
218	wikipediowy	B	 	2
219	""""	B	 	2
220	okrągły	B	 	2
221	stół	B	 	2
222	""""	.	 	2
223	zakończenie	B	 	2
224	konferencji	B	 	2
225	planowane	B	 	2
226	jest	B	 	2
227	na	B	 	2
228	godzinę	B	 	2
229	27	B	 	2
230	w	B	 	2
231	niedzielę	B	 	2
232	3	B	 	2
233	maja	.	 	2
234	osoby	,	 	2
235	które	B	 	2
236	chciałyby	B	 	2
237	wziąć	B	 	2
238	udział	B	 	2
239	w	B	 	2
240	konferencji	,	 	2
241	proszone	B	 	2
242	są	B	 	2
243	przez	B	 	2
244	organizatorów	B	 	2
245	o	B	 	2
246	wcześniejszy	B	 	2
247	mailowy	:	 	2
248	konferencjawikimedia	.	 	2
249	pl	.	 	2
250	wstęp	B	 	2
251	na	B	 	2
252	konferencję	B	 	2
253	jest	B	 	2
254	bezpłatny	.	 	2
0	drugie	B	 	3
1	zwycięstwo	B	 	3
2	w	B	 	3
3	tegorocznym	B	 	3
4	giro	B	 	3
5	d'italia	B	 	3
6	odniósł	B	 	3
7	danilo	B	 	3
8	di	B	 	3
9	luca	B	 	3
10	z	B	 	3
11	grupy	B	 	3
12	liquigas	,	 	3
13	zmieniając	B	 	3
14	tym	B	 	3
15	samym	B	 	3
16	paolo	B	 	3
17	bettiniego	B	 	3
18	na	B	 	3
19	pozycji	B	 	3
20	lidera	.	 	3
21	wyścig	B	 	3
22	przebiegał	B	 	3
23	dzisiaj	B	 	3
24	223	-	 	3
25	kilometrową	B	 	3
26	trasą	B	 	3
27	z	B	 	3
28	celano	B	 	3
29	do	B	 	3
30	l'aquila	.	 	3
31	poddenerwowany	B	 	3
32	wczorajszą	B	 	3
33	decyzją	B	 	3
34	sędziów	B	 	3
35	mistrz	B	 	3
36	olimpijski	B	 	3
37	bardzo	B	 	3
38	chciał	B	 	3
39	wygrać	B	 	3
40	dzisiejszy	B	 	3
41	etap	B	 	3
42	i	B	 	3
43	wcześnie	B	 	3
44	zaangażował	B	 	3
45	się	B	 	3
46	w	B	 	3
47	ucieczkę	.	 	3
48	uciekinierzy	B	 	3
49	byli	B	 	3
50	jednak	B	 	3
51	po	B	 	3
52	kolei	B	 	3
53	doganiani	,	 	3
54	mniej	B	 	3
55	więcej	B	 	3
56	10	B	 	3
57	km	B	 	3
58	przed	B	 	3
59	metą	B	 	3
60	wchłonięty	B	 	3
61	został	B	 	3
62	bettini	B	 	3
63	a	B	 	3
64	wkrótce	B	 	3
65	po	B	 	3
66	nim	B	 	3
67	ostatnich	B	 	3
68	czterech	B	 	3
69	kolarzy	.	 	3
70	szybkie	B	 	3
71	tempo	B	 	3
72	peletonowi	B	 	3
73	ponownie	B	 	3
74	nadawały	B	 	3
75	grupy	B	 	3
76	csc	B	 	3
77	i	B	 	3
78	liquigas	.	 	3
79	bettini	B	 	3
80	cały	B	 	3
81	czas	B	 	3
82	jechał	B	 	3
83	na	B	 	3
84	kole	B	 	3
85	di	B	 	3
86	luce	,	 	3
87	jednak	B	 	3
88	w	B	 	3
89	samej	B	 	3
90	końcówce	B	 	3
91	nie	B	 	3
92	zdołał	B	 	3
93	wytrzymać	B	 	3
94	tempa	.	 	3
95	di	B	 	3
96	luca	B	 	3
97	długo	B	 	3
98	jechał	B	 	3
99	pierwszy	,	 	3
100	nagle	B	 	3
101	na	B	 	3
102	czoło	B	 	3
103	wyskoczył	B	 	3
104	marzio	B	 	3
105	bruseghin	B	 	3
106	z	B	 	3
107	grupy	B	 	3
108	fassa	B	 	3
109	bortolo	,	 	3
110	który	B	 	3
111	wcześniej	B	 	3
112	nie	B	 	3
113	przejawiał	B	 	3
114	chęci	B	 	3
115	do	B	 	3
116	wygrywania	B	 	3
117	etapów	,	 	3
118	służąc	B	 	3
119	pomocą	B	 	3
120	alessandro	B	 	3
121	petacchiemu	.	 	3
122	di	B	 	3
123	luca	B	 	3
124	jednak	B	 	3
125	świetnie	B	 	3
126	finiszował	B	 	3
127	i	B	 	3
128	wygrał	B	 	3
129	z	B	 	3
130	wyraźną	B	 	3
131	przewagą	.	 	3
132	na	B	 	3
133	mecie	B	 	3
134	zwycięzca	B	 	3
135	był	B	 	3
136	bardzo	B	 	3
137	szczęśliwy	B	 	3
138	z	B	 	3
139	faktu	,	 	3
140	że	B	 	3
141	odniósł	B	 	3
142	triumf	B	 	3
143	w	B	 	3
144	rodzinnych	B	 	3
145	stronach	.	 	3
146	oprócz	B	 	3
147	tego	,	 	3
148	jutro	B	 	3
149	po	B	 	3
150	raz	B	 	3
151	pierwszy	B	 	3
152	pojedzie	B	 	3
153	w	B	 	3
154	różowej	B	 	3
155	koszulce	B	 	3
156	lidera	.	 	3
157	na	B	 	3
158	trasie	B	 	3
159	doszło	B	 	3
160	do	B	 	3
161	niewielkiej	B	 	3
162	kraksy	,	 	3
163	w	B	 	3
164	której	B	 	3
165	jednak	B	 	3
166	poważnie	B	 	3
167	ucierpiał	B	 	3
168	kolarz	B	 	3
169	z	B	 	3
170	ekipy	B	 	3
171	euskaltel	-	 	3
172	david	B	 	3
173	lopez	B	 	3
174	garcia	-	 	3
175	który	B	 	3
176	zderzył	B	 	3
177	się	B	 	3
178	z	B	 	3
179	jadącym	B	 	3
180	w	B	 	3
181	barwach	B	 	3
182	t	-	 	3
183	mobile	B	 	3
184	daniele	B	 	3
185	nardello	.	 	3
0	takiego	B	 	4
1	mrozu	B	 	4
2	nie	B	 	4
3	było	B	 	4
4	w	B	 	4
5	polsce	B	 	4
6	od	B	 	4
7	dawna	.	 	4
8	słupki	B	 	4
9	rtęci	B	 	4
10	w	B	 	4
11	znaczącej	B	 	4
12	części	B	 	4
13	polski	B	 	4
14	spadły	B	 	4
15	nie	B	 	4
16	tylko	B	 	4
17	poniżej	B	 	4
18	10	B	 	4
19	stopni	B	 	4
20	na	B	 	4
21	minusie	,	 	4
22	ale	B	 	4
23	nawet	B	 	4
24	poniżej	B	 	4
25	20	B	 	4
26	bądź	B	 	4
27	30	B	 	4
28	tak	B	 	4
29	zimno	B	 	4
30	jest	B	 	4
31	od	B	 	4
32	czwartku	B	 	4
33	m	.	 	4
34	in	.	 	4
35	w	B	 	4
36	suwałkach	,	 	4
37	gdzie	B	 	4
38	dziś	B	 	4
39	było	B	 	4
40	nawet	-	 	4
41	28c	B	 	4
42	w	B	 	4
43	hrubieszowie	B	 	4
44	zanotowano	B	 	4
45	jeszcze	B	 	4
46	niższą	B	 	4
47	temperaturę	,	 	4
48	bo	-	 	4
49	30c	B	 	4
50	powodem	B	 	4
51	tak	B	 	4
52	niskiej	B	 	4
53	temperatury	B	 	4
54	jest	B	 	4
55	nadchodzący	B	 	4
56	bardzo	B	 	4
57	mroźny	B	 	4
58	front	B	 	4
59	znad	B	 	4
60	rosji	,	 	4
61	gdzie	B	 	4
62	temperatura	B	 	4
63	jest	B	 	4
64	jeszcze	B	 	4
65	niższa	.	 	4
66	z	B	 	4
67	powodu	B	 	4
68	tak	B	 	4
69	dużych	B	 	4
70	mrozów	B	 	4
71	wielu	B	 	4
72	ludzi	B	 	4
73	nie	B	 	4
74	mogło	B	 	4
75	rano	B	 	4
76	uruchomić	B	 	4
77	swoich	B	 	4
78	samochodów	,	 	4
79	przez	B	 	4
80	co	B	 	4
81	nie	B	 	4
82	dojechali	B	 	4
83	do	B	 	4
84	pracy	.	 	4
85	w	B	 	4
86	wielu	B	 	4
87	szkołach	B	 	4
88	na	B	 	4
89	lekcje	B	 	4
90	przyszło	B	 	4
91	mniej	B	 	4
92	niż	B	 	4
93	połowa	B	 	4
94	uczniów	,	 	4
95	a	B	 	4
96	dwie	B	 	4
97	gminy	B	 	4
98	w	B	 	4
99	lubelskiem	B	 	4
100	zapowiedziały	,	 	4
101	że	B	 	4
102	w	B	 	4
103	poniedziałek	B	 	4
104	i	B	 	4
105	wtorek	B	 	4
106	odwołają	B	 	4
107	zajęcia	B	 	4
108	szkolne	.	 	4
109	problemy	B	 	4
110	mają	B	 	4
111	energetycy	B	 	4
112	i	B	 	4
113	wodociągowcy	,	 	4
114	bo	B	 	4
115	mróz	B	 	4
116	może	B	 	4
117	powodować	B	 	4
118	pękanie	B	 	4
119	rur	B	 	4
120	i	B	 	4
121	linii	B	 	4
122	wysokiego	B	 	4
123	napięcia	,	 	4
124	powstająca	B	 	4
125	gołoledź	B	 	4
126	powoduje	B	 	4
127	wiele	B	 	4
128	wypadków	B	 	4
129	drogowych	.	 	4
130	siarczyste	B	 	4
131	mrozy	B	 	4
132	mają	B	 	4
133	utrzymywać	B	 	4
134	się	B	 	4
135	w	B	 	4
136	polsce	B	 	4
137	jeszcze	B	 	4
138	przez	B	 	4
139	kilka	,	 	4
140	a	B	 	4
141	nawet	B	 	4
142	kilkanaście	B	 	4
143	dni	.	 	4
144	największe	B	 	4
145	ochłodzenie	B	 	4
146	ma	B	 	4
147	nadejść	B	 	4
148	w	B	 	4
149	nocy	B	 	4
150	z	B	 	4
151	niedzieli	B	 	4
152	na	B	 	4
153	poniedziałek	,	 	4
154	kiedy	B	 	4
155	to	B	 	4
156	temperatura	B	 	4
157	może	B	 	4
158	znacząco	B	 	4
159	spaść	B	 	4
160	nawet	B	 	4
161	poniżej	B	 	4
162	30	B	 	4
163	stopni	B	 	4
164	celsjusza	.	 	4
165	w	B	 	4
166	województwie	B	 	4
167	lubelskim	B	 	4
168	w	B	 	4
169	nocy	B	 	4
170	z	B	 	4
171	czwartku	B	 	4
172	na	B	 	4
173	piątek	B	 	4
174	prawdopodobnie	B	 	4
175	z	B	 	4
176	wychłodzenia	B	 	4
177	zmarły	B	 	4
178	dwie	B	 	4
179	osoby	.	 	4
180	w	B	 	4
181	samym	B	 	4
182	lublinie	B	 	4
183	nie	B	 	4
184	wyjechało	B	 	4
185	rano	B	 	4
186	ponad	B	 	4
187	20	B	 	4
188	autobusów	B	 	4
189	mpk	.	 	4
190	trakcja	B	 	4
191	trolejbusowa	,	 	4
192	która	B	 	4
193	nie	B	 	4
194	wytrzymała	B	 	4
195	niskich	B	 	4
196	temperatur	,	 	4
197	na	B	 	4
198	kilkadziesiąt	B	 	4
199	minut	B	 	4
200	zablokowała	B	 	4
201	ruch	B	 	4
202	w	B	 	4
203	całym	B	 	4
204	mieście	.	 	4
205	awarię	B	 	4
206	udało	B	 	4
207	się	B	 	4
208	szybko	B	 	4
209	naprawić	.	 	4
210	brak	B	 	4
211	odporności	B	 	4
212	na	B	 	4
213	mrozy	B	 	4
214	był	B	 	4
215	także	B	 	4
216	przyczyną	B	 	4
217	wielu	B	 	4
218	problemów	B	 	4
219	z	B	 	4
220	dostawą	B	 	4
221	wody	B	 	4
222	do	B	 	4
223	lubelskich	B	 	4
224	mieszkań	.	 	4
225	w	B	 	4
226	godzinach	B	 	4
227	wieczornych	B	 	4
228	większość	B	 	4
229	służb	B	 	4
230	miejskich	B	 	4
231	funkcjonowała	B	 	4
232	już	B	 	4
233	normalnie	,	 	4
234	jednak	,	 	4
235	jak	B	 	4
236	zapowiada	B	 	4
237	centrum	B	 	4
238	zarządzania	B	 	4
239	kryzysowego	B	 	4
240	przy	B	 	4
241	urzędzie	B	 	4
242	wojewódzkim	,	 	4
243	problemy	B	 	4
244	mogą	B	 	4
245	pojawić	B	 	4
246	się	B	 	4
247	znowu	B	 	4
248	w	B	 	4
249	sobotę	B	 	4
250	późnym	B	 	4
251	wieczorem	.	 	4
252	słupek	B	 	4
253	rtęci	B	 	4
254	na	B	 	4
255	termometrach	B	 	4
256	w	B	 	4
257	regionie	B	 	4
258	spadnie	B	 	4
259	wtedy	B	 	4
260	jeszcze	B	 	4
261	niżej	B	 	4
262	i	B	 	4
263	utrzyma	B	 	4
264	się	B	 	4
265	na	B	 	4
266	tym	B	 	4
267	poziomie	B	 	4
268	przez	B	 	4
269	całą	B	 	4
270	niedzielę	.	 	4
271	lubelski	B	 	4
272	urząd	B	 	4
273	wojewódzkich	B	 	4
274	uruchomiał	B	 	4
275	całodobową	B	 	4
276	infolinię	B	 	4
277	dla	B	 	4
278	bezdomnych	.	 	4
279	pracownicy	B	 	4
280	dyżurujący	B	 	4
281	pod	B	 	4
282	numerem	B	 	4
283	92	B	 	4
284	87	B	 	4
285	informują	B	 	4
286	potrzebujących	B	 	4
287	o	B	 	4
288	miejscach	B	 	4
289	w	B	 	4
290	noclegowniach	B	 	4
291	w	B	 	4
292	regionie	.	 	4
0	ceny	B	 	5
1	biletów	B	 	5
2	na	B	 	5
3	ceremonię	B	 	5
4	otwarcia	B	 	5
5	i	B	 	5
6	zamknięcia	B	 	5
7	zimowych	B	 	5
8	igrzysk	B	 	5
9	olimpijskich	B	 	5
10	w	B	 	5
11	vancouver	B	 	5
12	2010	B	 	5
13	wynoszą	B	 	5
14	od	B	 	5
15	175	B	 	5
16	do	B	 	5
17	1100	B	 	5
18	dolarów	B	 	5
19	amerykańskich	B	 	5
20	i	B	 	5
21	zostaną	B	 	5
22	wystawione	B	 	5
23	na	B	 	5
24	sprzedaż	B	 	5
25	11	B	 	5
26	października	B	 	5
27	2008	B	 	5
28	roku	.	 	5
29	komitet	B	 	5
30	organizacyjny	B	 	5
31	igrzysk	B	 	5
32	olimpijskich	B	 	5
33	vancouver	B	 	5
34	2010	B	 	5
35	ogłosił	,	 	5
36	że	B	 	5
37	w	B	 	5
38	sprzedaży	B	 	5
39	znajdzie	B	 	5
40	się	B	 	5
41	1	,	 	5
